Date,Nifty Auto,Nifty Bank,Nifty Finance,Nifty FMCG,Nifty Health,Nifty IT,Nifty Media,Nifty Metal,Nifty Pharma,Nifty PVT Bank,Nifty PSU Bank,Nifty Realty
01-Jan-20,8210.1,32102.9,14574.2,30234.25,4855.19,15722.15,1794.2,2796.05,8047.1,17711.65,17711.65,297.85
02-Jan-20,8267.45,32443.85,14697.5,30266.2,4874.11,15709.65,1800.65,2869.9,8053.95,17913.65,17913.65,301
03-Jan-20,8168.15,32069.25,14560.7,30109.25,4897.85,15936.6,1760.5,2848.35,8111.95,17731.25,17731.25,299.65
06-Jan-20,7978.75,31237.15,14202.5,29799.3,4827.43,15879.8,1717.35,2765.75,7987.35,17298.9,17298.9,292.4
07-Jan-20,8002.5,31399.4,14314.75,29861.8,4855.11,15895.2,1735.15,2785.9,8036.5,17384.5,17384.5,298.05
08-Jan-20,7942.75,31373.65,14306.65,29893.2,4844.12,15953.45,1726.6,2767.25,7996.15,17371.35,17371.35,297.05
09-Jan-20,8155.25,32092.4,14590.1,30123.6,4869.15,15925.15,1767.95,2806.8,8033.15,17760.5,17760.5,305.15
10-Jan-20,8225.5,32097.4,14609.65,30370.45,4890.57,15959.9,1770.65,2840.75,8058.5,17729.25,17729.25,310.65
13-Jan-20,8235.85,32177.65,14635.05,30713.45,4910.85,16225.9,1784.8,2874.1,8078.45,17811.05,17811.05,317.15
14-Jan-20,8289.3,32071.65,14667.2,31145.4,4932.75,16362.35,1822.2,2900.65,8117,17727.25,17727.25,316.75
15-Jan-20,8385.35,31824.9,14636.05,31237.1,4964.02,16346.85,1837,2921.45,8166.2,17572.3,17572.3,320.9
16-Jan-20,8395.9,31853.9,14655.35,31338.2,4994.82,16381.65,1863.5,2884.8,8203.1,17584.8,17584.8,323.8
17-Jan-20,8427.6,31590.65,14561.8,31371.45,5065.12,16356.6,1870.1,2864.65,8345.3,17444.35,17444.35,324.15
20-Jan-20,8352.7,31080.65,14359.65,31426.75,5036.73,16207.15,1835.7,2835.85,8269.35,17161.2,17161.2,325.8
21-Jan-20,8245.9,30947.55,14305.7,31145.95,5041.83,16175.2,1876.5,2799.95,8274.2,17099.6,17099.6,321.15
22-Jan-20,8169.15,30701.45,14178.5,31153.15,5039.42,16334.55,1909,2756.75,8256.65,16931.9,16931.9,320.85
23-Jan-20,8241.75,31004.05,14288.45,31226.9,5072.75,16474.4,1871.85,2769.25,8300.2,17075.85,17075.85,327.65
24-Jan-20,8274.85,31241.75,14420.4,31474.9,5074.41,16472.75,1889.9,2796.2,8294.05,17202.2,17202.2,328.65
27-Jan-20,8258.15,30837.4,14234.7,31149.7,5148.93,16393.55,1882.45,2709.75,8416.35,17009.6,17009.6,326.8
28-Jan-20,8156.05,30761.4,14273.1,31027.05,5134.94,16429.75,1861,2642.25,8420.25,16966.1,16966.1,326.95
29-Jan-20,8220.4,30877,14346.8,31426.25,5133.47,16479.3,1868.05,2665.85,8412.8,17006.85,17006.85,328.5
30-Jan-20,8181.45,30647.4,14289.95,30936.45,5058.12,16327.9,1845,2628.9,8237.05,16869.8,16869.8,327.15
31-Jan-20,8086.55,30833.6,14316.9,30775.3,5005.26,16144.15,1835.3,2569,8138.6,16936.35,16936.35,331.05
01-Feb-20,7880.3,29820.9,13758.85,30196.65,4931.54,16282.65,1755.9,2480.55,8013.75,16419.7,16419.7,305
03-Feb-20,7988.35,30023.25,13822.3,30435.3,4918.75,16059.9,1779.2,2510.95,7967.55,16605.15,16605.15,310
04-Feb-20,8100.8,30686.7,14218.8,30744,4973.72,16350.85,1782.2,2594.25,8122.4,16932.25,16932.25,318.6
05-Feb-20,8131.7,31001.95,14407.8,30934.4,4985.11,16448.55,1764.7,2665.4,8125.6,17086.35,17086.35,326.4
06-Feb-20,8142.15,31304.05,14545.75,30736.6,5030.03,16371.15,1792.35,2688.75,8227.9,17250.5,17250.5,326.25
07-Feb-20,8064.6,31201.95,14502.4,30809.5,5113.01,16470.15,1827.25,2710.8,8341.85,17181.5,17181.5,320.3
10-Feb-20,7860.55,31058.15,14496.75,30528.45,5087.4,16431.9,1798.1,2628.9,8261.25,17081.25,17081.25,317.1
11-Feb-20,7892.4,31300.6,14589.55,30414.55,5125.06,16452.3,1827.45,2651.75,8324.65,17201.75,17201.75,317.8
12-Feb-20,7933.8,31492.9,14685.4,30986.25,5106.11,16538.1,1824.2,2668.25,8265.05,17318.95,17318.95,315.2
13-Feb-20,7914.9,31230.25,14578.85,31039.3,5164.36,16673.05,1834.85,2651.6,8335.7,17083,17083,313.8
14-Feb-20,7822.2,30834.8,14477.45,30646.75,5158.42,16642.75,1832.5,2613.6,8331.7,16871.45,16871.45,310.3
17-Feb-20,7770.5,30680.7,14370.25,30481.05,5075.43,16647.7,1812.25,2586.7,8204.85,16808.85,16808.85,305.7
18-Feb-20,7692.3,30562.5,14315.7,30360.6,5077.07,16748.75,1845.9,2556.05,8198.3,16689.4,16689.4,302.85
19-Feb-20,7687.35,30838.2,14520.25,30835,5189,16772.45,1882,2591.05,8378.65,16838.7,16838.7,306.2
20-Feb-20,7697.9,30942.85,14510.4,30636.25,5198.45,16649.4,1871.7,2612.25,8364.35,16895,16895,306.25
24-Feb-20,7429.1,30455.1,14236.15,30147.6,5065.76,16461.8,1829.6,2469.6,8115.55,16631.35,16631.35,299.75
25-Feb-20,7366,30432.7,14236.1,30173.2,4990.29,16562.5,1817.25,2470.35,7938.45,16589.3,16589.3,302.55
26-Feb-20,7207.95,30306.85,14132.7,29965.55,4939.82,16332.25,1803.9,2430,7839.2,16495.2,16495.2,297.5
27-Feb-20,7178.85,30187,14086.05,29981.2,4952.96,16123.8,1760.55,2410.05,7885.15,16470.7,16470.7,290.3
28-Feb-20,6903.95,29147.15,13566.45,29310.25,4798.08,15212.95,1670.7,2246.05,7576.75,15953.6,15953.6,280.55
02-Mar-20,6856.9,28868.4,13520,29138.9,4779.81,15427.65,1594.7,2197.6,7535.1,15861.55,15861.55,279.65
03-Mar-20,6986.65,29177.05,13636.95,29406.2,4977.1,15723.2,1647.65,2320.75,7920.6,16054.95,16054.95,284.15
04-Mar-20,6938.85,28653.7,13439.5,29223.75,5042.4,15864.3,1617.65,2304.3,8086.55,15761.6,15761.6,281.05
05-Mar-20,6953.75,28815.35,13472.75,29530.5,5075.27,15871.35,1606.3,2284.85,8146,15853.45,15853.45,277.85
06-Mar-20,6895,27801.45,13082.5,28937,5005.46,15663.45,1527.15,2183.9,8018.3,15259.5,15259.5,269.75
09-Mar-20,6632.15,26462.6,12522.2,28056.5,4852.26,14854.9,1425.6,2020.05,7756.45,14480.4,14480.4,260
11-Mar-20,6568.45,26487.8,12560.45,28078.75,4794.14,14681.4,1454.3,1986.95,7623.05,14548,14548,255.25
12-Mar-20,6033.4,23971.15,11454.8,26083,4395,13384.8,1304.15,1800.6,6942.55,13232.3,13232.3,230.3
13-Mar-20,6182,25166.45,12101.6,26208,4558.89,13539.1,1282.35,1903.35,7268,13740.55,13740.55,235.85
16-Mar-20,5843.7,23101.15,11123.4,24707.65,4390.14,12451.35,1226.05,1730.6,6959.35,12557.1,12557.1,216.15
17-Mar-20,5803.85,22155.15,10613.6,24929.85,4384.85,12099.25,1153.15,1710.45,6979.1,12053.05,12053.05,211
